slovo,$F-Factor-1,$F-Factor-2,$F-Factor-3,$F-Factor-4,$F-Factor-5
"E",-0.144254,-0.162183,0.298968,1.106236,-0.636897
"X",0.031559,-0.642079,1.350328,-0.953746,-0.320481
"G",-0.032994,-1.080718,0.005986,2.139914,-0.287299
"V",0.401269,1.567668,-0.301460,-0.522094,-0.438538
"X",0.528727,-0.399875,0.503722,0.305196,-1.464394
"W",0.984481,0.358802,-1.221408,-0.179151,0.094180
"G",-1.655310,-0.514357,-0.065314,0.605867,-0.311923
"R",1.501759,-0.656550,0.254352,-0.429424,-0.308222
"S",-0.094673,-0.816141,0.999108,2.428372,-1.197134
"Y",1.833145,0.169561,-0.073956,-0.166614,-0.743172
"L",-1.134189,-1.165196,-0.582780,1.076200,-0.593158
"Y",-1.059104,1.590172,0.508097,0.300736,-0.404321
"J",0.304874,0.156820,-0.094779,-0.098924,-0.957651
"S",0.351108,-0.721824,0.604881,0.718227,-1.445581
"Q",1.431179,-0.713212,0.005315,0.598279,0.298185
"Q",-0.275487,-1.632371,-0.214915,-0.854497,0.310718
"D",-0.797555,-0.289664,-0.538629,0.822517,-0.762930
"C",0.078362,0.445810,0.591579,0.403945,0.197200
"L",0.674463,-1.968247,1.133978,-0.529606,1.121666
"N",-0.787116,-0.448008,-2.623981,0.227831,0.551123
"C",-1.501356,0.713332,0.408624,0.706032,0.924797
"E",-0.039645,-0.265269,1.101386,0.983012,0.052932
"X",0.382415,-0.625793,0.260516,0.724367,-0.990391
"H",-0.865373,-0.277090,-0.488378,-0.498997,-0.521365
"L",-1.536684,-1.118981,-0.556765,1.265774,-0.827375
"H",-0.426211,0.015055,0.491883,-0.423951,0.073165
"E",-1.137943,-0.648397,0.037972,0.593008,-1.004183
"Y",1.156669,0.261019,-0.539305,-0.574994,-1.201213
"H",1.381489,-0.171170,-0.017732,-1.077625,-0.574650
"Q",0.576047,-0.758769,0.537005,-0.112209,-0.954341
"Q",0.062055,-0.760644,-0.623570,1.123656,-0.178192
"Q",0.135142,-1.053155,-0.901676,0.433974,0.024623
"J",-0.721353,-2.044648,0.470223,-1.164361,2.736190
"J",-0.420595,0.365385,2.001726,-1.392365,0.795296
"D",-0.367816,-0.020987,-0.002844,-0.193673,-0.841749
"R",-0.531742,-0.567009,-0.279988,0.129834,-0.940310
"M",0.134091,-0.426182,-0.638256,-0.387205,1.486890
"A",-0.205293,-2.132556,0.339457,-1.887376,1.038426
"N",-0.465720,0.591120,-0.897997,-0.852454,-0.232675
"M",1.497450,1.101362,-0.505941,0.717656,1.248358
"P",1.381561,1.098443,0.184057,-0.840982,0.268284
"C",0.876193,-0.539124,-0.212262,0.872524,0.657573
"P",1.410277,-0.616840,-0.237102,0.328769,-1.255876
"N",-1.398928,0.657260,-0.518577,-0.823538,0.836069
"W",-0.714913,0.960353,-1.746807,-1.182129,-0.339506
"V",0.364260,0.229913,-1.064897,-0.894914,-0.280331
"V",2.122765,0.231613,-0.499797,-0.429249,-1.745416
"M",1.121088,0.315708,-0.453116,0.236891,1.524216
"E",0.151102,0.294075,1.107767,0.525360,0.187458
"N",1.765936,0.966978,-0.418116,-0.101017,-0.064232
"Y",0.923342,2.583751,1.108917,0.494916,0.485491
"W",0.166914,0.546361,-1.761632,-0.814322,1.083977
"O",0.851901,-0.488255,0.377715,0.033088,-0.063718
"N",-0.371053,-0.431006,-2.814451,0.309681,0.797785
"H",0.320210,-0.774299,-0.337124,0.399698,-1.099586
"O",-0.102404,-0.312542,-0.212707,-0.151870,0.553850
"N",0.108936,-0.676644,-0.885846,-0.105188,-0.302530
"H",-0.146479,-0.368934,-2.285928,0.386568,1.695239
"U",1.098196,1.569052,0.492752,1.443779,2.023529
"Y",-1.011483,1.559631,-0.189942,-0.120944,0.564813
"S",0.591494,0.859004,1.371095,-0.239201,-0.333695
"S",0.729882,-0.444489,-0.007028,0.739411,-1.337057
"T",-1.535738,1.471732,0.028255,0.038601,-0.472357
"C",-1.425617,0.517633,0.325738,1.342025,1.406726
"V",0.192125,0.869224,-1.240006,0.090383,1.395465
"T",0.086938,2.548833,0.976969,-0.885610,-0.513231
"K",0.810770,0.360645,0.722537,-0.217751,0.801460
"D",-0.092015,0.177615,-0.301795,-0.169618,-0.680365
"W",-1.380821,0.558395,-2.000383,-1.282317,0.236829
"I",-0.574415,-0.051391,1.970366,-0.535729,1.513083
"E",-0.485926,-0.413205,1.080288,3.483080,0.337123
"F",0.737783,1.776472,0.932662,-1.302315,-0.001074
"I",-0.279098,0.137662,1.969913,-0.595044,1.326453
"H",1.112266,-0.348193,-0.140193,0.690980,0.023517
"U",-0.466761,0.518817,-1.787691,0.991137,1.345467
"C",-1.372423,0.074723,-0.001570,1.534416,0.486238
"F",1.050272,-0.630444,-0.887105,0.992351,-1.340735
"A",-0.094701,-1.706857,0.471741,-1.331981,0.635383
"Z",-0.206102,0.235958,1.803006,0.051617,-0.670805
"X",-0.266632,-1.579182,1.320816,-1.061165,0.000996
"N",-0.802852,0.850066,-0.409895,-0.867040,0.340623
"R",0.389533,-1.489353,0.117783,-1.202015,0.520394
"B",-0.584254,-0.523242,-0.699563,-0.209705,-1.242788
"B",0.992850,-0.332471,0.850353,-0.708804,-0.777727
"U",-0.282609,0.957475,0.380844,0.450951,0.403449
"J",0.084589,-0.479257,0.015914,0.297207,-1.204114
"F",-0.733052,1.760241,0.392080,0.862585,1.106225
"M",1.312087,-1.040848,-0.268454,-2.310358,0.119088
"H",-1.767375,-0.405418,-2.262936,-0.325466,0.454050
"A",-1.300521,-1.951703,-0.105382,-1.619287,0.412946
"O",0.201022,-0.119823,-0.809180,-0.060436,0.766637
"E",-1.943490,-0.713482,0.348745,2.467903,-0.454914
"U",-1.237756,1.113987,0.154710,0.133870,0.061880
"A",-0.287977,-1.776925,0.340415,-1.701497,1.161702
"X",-0.046175,0.989368,1.283853,0.503446,0.577630
"S",0.432814,-0.856851,1.555311,-0.087070,0.307041
"J",-1.663320,-0.575595,1.101112,-1.773166,0.642003
"K",1.056768,0.056690,0.899492,0.512465,1.008861
"I",-1.180915,-0.540601,1.729809,-1.115753,1.325530
"P",1.338204,1.448134,1.560713,-1.077757,-0.223309
"T",-1.958308,1.296460,-0.234124,-0.485436,-0.250880
"C",-1.718411,-0.242873,-0.153404,1.341178,0.433449
"H",0.020737,-0.306055,-2.010194,0.123570,1.196957
"A",-0.893048,-1.916995,0.102637,-1.519746,0.497382
"L",2.143688,0.184106,-0.262328,1.126776,-1.390485
"T",-0.632283,1.892143,-0.359870,0.367983,-0.319168
"A",-0.313674,-2.335925,0.379682,-1.420551,1.489695
"V",-0.152278,1.066256,-1.250852,-0.225628,1.027198
"U",0.392691,0.073051,-0.808951,0.223869,-0.206254
"I",-0.675408,-0.174551,1.144514,0.127933,0.056182
"Z",1.633416,-0.463200,2.077555,0.123919,1.044927
"V",0.584167,0.420036,-1.246323,-0.761571,-0.782750
"M",1.253565,-0.242715,-1.207424,-1.221539,-0.716243
"L",0.106361,-1.021979,1.318566,0.075037,0.050337
"O",-0.496808,-0.972511,-0.427470,0.742997,-0.047994
"B",-0.333157,-0.547478,-0.037041,0.255514,-1.797202
"A",1.552934,-1.558193,0.159611,-0.307456,2.444774
"K",1.117840,-0.924500,1.206584,-0.939707,0.344360
"H",-0.250888,-0.299993,-0.127136,0.196108,-0.178961
"T",0.863582,1.745150,1.608941,-0.762386,-0.143821
"W",0.311079,1.898740,-1.096759,-0.723510,0.439059
"F",-0.855952,2.038271,0.804649,0.857114,1.231377
"A",-0.863288,-1.079381,-0.575299,-1.502283,0.457314
"E",-0.441579,-0.843538,0.744091,3.115666,-0.019698
"M",0.401684,-0.337324,-2.680479,-0.193067,1.774991
"B",0.551137,-0.561201,-0.290182,1.001105,-1.570958
"M",0.291048,-0.502523,-0.954302,0.366788,-1.340881
"Y",0.582603,1.785749,1.308183,-0.178333,-0.919565
"V",0.132238,1.665152,-0.565097,0.559854,0.876475
"S",-0.253771,-0.838828,0.209087,0.252617,-1.704040
"C",-1.575317,-0.321049,-0.179295,1.786226,0.087904
"H",1.152829,-0.787181,-1.223141,-0.142742,-1.540445
"U",0.091041,0.560088,-1.517493,0.335524,1.370201
"P",0.729840,1.074535,-0.148293,-1.472557,-0.831808
"Z",-0.247052,-0.368944,2.417548,1.516740,-1.052084
"E",-0.764318,-0.040717,1.207954,-0.042702,0.108844
"N",0.462287,1.107678,-0.415005,0.226135,1.419141
"P",0.511730,0.630650,-0.342079,-0.569867,0.092199
"H",-0.214579,0.005176,-0.200015,-0.217031,-0.503068
"T",0.821929,2.379689,1.056746,-0.560089,-0.175264
"B",0.367666,-0.626554,-0.020684,1.647416,-1.780807
"U",0.192419,0.476584,-1.618120,1.617271,2.108763
"S",-0.438498,-0.418889,0.821018,0.768695,-2.795614
"F",-0.149523,2.269259,0.494242,0.124253,0.363384
"J",-0.145427,-0.594846,1.667770,-1.410943,0.923159
"R",-0.381116,-0.482089,-0.309544,0.099441,-0.511387
"E",-0.828339,-0.663032,0.049901,0.833939,-0.920525
"P",0.575606,0.675062,-0.225760,-1.549091,-0.849235
"I",-1.503486,-0.249985,0.850328,0.141886,-0.584123
"K",2.006856,-1.297149,-0.646603,0.550138,-1.075170
"D",0.475262,-0.534296,-0.402779,-0.100622,-1.460958
"B",0.732380,-0.565098,-0.900894,-0.868891,-1.321040
"H",1.034210,-0.554160,-0.215636,0.422254,-0.897890
"M",1.727223,-0.695718,-0.076426,-1.627194,0.817851
"P",0.682218,1.533187,-0.393035,-0.030345,-0.244525
"O",0.229466,-0.785149,-0.706682,-0.014342,0.326273
"S",-0.257122,-0.437601,-0.153541,0.521603,-1.490600
"K",0.031804,1.175040,0.724245,1.218553,1.551593
"V",0.688379,2.065966,-0.172087,0.725448,1.620992
"F",1.277047,1.724492,1.838224,-1.120640,0.422319
"Y",-0.783155,1.835470,-0.619905,-0.078185,1.082441
"D",-0.080231,-0.926488,1.190736,-1.475276,-0.290879
"Z",-1.947668,-0.394846,1.426978,0.610716,-1.584950
"Q",-0.404618,0.053959,-0.648007,0.246510,-0.067345
"S",1.446640,-0.189225,0.867873,-0.971058,1.750862
"B",0.592185,-0.497842,0.160162,0.002615,-0.818933
"K",1.649017,0.724022,0.339082,0.340337,1.202449
"V",-0.150515,1.532562,-0.795085,0.438870,1.784362
"B",-0.089307,-0.685858,-0.086485,1.521393,-1.532440
"Y",-1.149706,1.418735,0.213901,0.656695,-0.161920
"O",-0.841301,-0.328548,-0.483871,0.192764,-0.179845
"Z",0.965694,-0.870430,2.216410,0.448466,0.380130
"L",-1.442210,-1.217805,1.232570,0.296366,0.155847
"J",-1.618144,-0.799891,1.326677,-1.358643,0.788881
"Z",-1.342981,0.225238,1.713173,-0.309841,-0.903081
"A",-0.345719,-0.993977,-0.597779,-1.127218,0.377190
"L",-0.313906,-0.758500,-0.119307,0.308185,-1.095282
"J",-1.192825,-0.598222,1.808227,-1.711614,0.444008
"Q",0.568955,-0.560668,-0.697970,0.948973,0.416454
"N",-1.530444,0.260299,-0.986241,-1.027451,-0.182940
"Z",-0.844078,-0.416601,2.315177,1.408688,-1.463372
"E",0.075648,-0.301236,1.350871,3.744282,0.625803
"J",0.254967,-0.569821,0.496665,-1.256872,-0.564101
"D",0.040520,-0.267157,0.026337,1.400126,-0.807938
"O",0.814732,-0.136430,-0.559763,0.691957,-0.273248
"L",-0.723295,-0.883866,0.655530,0.005652,-0.811056
"V",-0.601289,2.022479,-0.097553,-0.227031,0.436090
"X",1.274614,0.119238,1.421708,-0.158662,0.161901
"J",0.033493,-0.113786,1.096521,0.167028,3.075697
"N",1.508425,0.322977,-0.040371,-1.049627,1.191689
"H",0.073253,0.331924,-0.656316,-0.349666,-1.373306
"A",-0.438660,-2.158739,0.324295,-2.396345,0.796171
"P",1.003594,-0.207348,-1.698554,-0.688752,-1.263890
"A",0.040632,-1.423254,-0.028801,-1.466173,1.104430
"F",-0.023543,1.856002,0.677143,-0.386798,-0.173220
"X",-0.598092,0.063195,1.470105,-0.317381,-0.092248
"D",0.777226,0.233288,0.046684,1.269982,-0.225104
"V",-0.385393,1.311293,-1.140517,-0.345870,-0.393926
"P",0.786270,0.045379,0.434416,-1.654781,-0.491363
"F",0.777621,1.090791,-0.004457,-0.363423,-0.200472
"P",1.271704,0.603344,0.209918,-1.096943,-0.852237
"Y",0.008973,1.275900,0.224425,-0.205297,0.865942
"W",-0.672507,0.899668,-1.910949,-0.621267,0.585441
"P",0.874579,1.077487,-0.026721,-1.051818,-0.767294
"J",0.834706,-0.270502,0.041590,0.116194,-1.030855
"E",-0.539771,-0.733349,0.500297,1.150996,-1.356108
"S",0.064405,-0.778910,0.764122,2.181836,-1.255649
"E",-0.626122,-0.395564,1.248097,3.489675,0.016712
"B",0.924523,0.115001,0.574802,-0.121452,-0.978201
"I",-0.943858,-0.248239,1.603358,0.600364,-0.150152
"S",0.584514,-1.014313,0.835193,-0.316489,0.068769
"S",-0.013266,-0.303631,-0.187590,1.406414,-1.167495
"C",-0.596408,-0.328868,-0.087811,2.524082,0.836627
"M",2.443800,-0.285686,-0.554432,-1.702738,0.067892
"P",0.907664,1.077915,-0.278407,-1.052365,0.043332
"R",-0.876557,-0.789586,-0.030093,-0.425132,0.095268
"U",0.523955,0.034132,-0.951044,-0.457732,-0.884867
"U",-0.008032,1.348032,0.559748,0.785862,1.116187
"D",-0.266724,0.019245,-0.268914,0.970236,-0.629446
"U",-1.569651,0.625232,-1.864138,0.728805,0.676636
"J",-0.928063,-0.889410,1.297825,-1.629142,0.228907
"Z",1.385330,-0.348491,1.939156,0.252343,0.135520
"F",0.952551,0.849597,0.914829,-0.870597,0.540519
"V",-1.986902,1.004232,-1.307516,-0.582620,0.215907
"M",1.232587,-0.051876,-2.073093,-0.954298,-1.059707
"U",-0.809238,0.334644,-1.781537,1.057737,1.403363
"B",-0.160667,-0.522594,-0.014169,0.232281,-1.292862
"L",0.029691,-1.224428,1.690035,0.701162,0.418646
"T",-0.018886,1.174725,0.604680,-0.117413,0.886736
"D",1.325769,-1.510238,0.957329,-0.796374,1.195860
"T",0.799485,1.483051,2.141973,-0.312524,-0.182669
"O",0.464168,-0.707602,-0.804986,0.208050,-0.304324
"T",-2.129036,1.268076,-0.144967,-0.451070,-0.158000
"U",-0.755574,1.039565,0.157768,0.367419,0.559126
"D",-0.966473,-0.591628,0.722624,-1.367800,-0.403808
"R",-0.023766,-0.441841,-0.850500,0.847015,-0.513532
"G",0.912458,0.176470,0.098455,1.566944,0.776387
"D",-1.517990,-0.246671,-0.498840,0.403426,-1.127951
"S",0.026579,-0.539471,-0.135428,0.830781,-1.120381
"S",2.222650,-1.144723,-0.332322,0.467640,-1.453002
"M",1.649218,-0.241983,-0.421914,-1.011168,1.045017
"M",0.841638,-0.505341,-0.667004,-2.023055,0.175008
"D",0.840882,-0.374731,0.340150,0.293545,-0.568206
"Z",0.588925,-0.960264,1.968651,0.187988,-0.062664
"W",0.680559,0.704770,-1.870292,-1.017818,0.663101
"C",-1.480396,-0.202881,-0.224080,1.836844,0.024426
"K",-0.319598,-0.599731,0.140166,1.012138,-0.972098
"J",0.997445,-0.641040,0.502671,-0.054114,0.358584
"A",1.484636,0.294389,-0.293201,-0.553118,-0.130445
"D",0.781187,-0.149536,0.832826,-0.655809,-0.512051
"C",0.315225,-0.504241,-0.474939,0.327839,-0.054341
"V",-1.056096,2.109305,-0.378552,-0.159129,0.294582
"S",-0.306669,-0.538569,0.745620,0.953101,-2.044368
"F",0.177946,0.358118,1.510509,-1.586114,0.093737
"A",1.040291,-1.222258,-0.525394,-1.040144,-0.066204
"B",-0.738099,-0.524547,-0.038258,-0.134578,-1.664091
"N",-1.045402,0.335161,-0.944528,-0.767725,-0.671603
"U",0.390618,-0.623944,-0.527162,-0.072094,1.177445
"S",0.531438,-0.567945,0.799774,1.627794,-1.609818
"Q",-0.534653,-0.418679,-1.475479,0.723474,-0.436784
"F",-0.642224,2.246329,0.709303,0.742747,1.075298
"F",0.303038,1.647615,0.455416,-0.012475,-0.180643
"X",1.064649,-0.985522,0.929836,1.108664,-0.862591
"A",-0.219126,-2.270095,0.080962,-1.825921,1.182347
"B",0.112606,-0.682163,-0.001819,1.611130,-1.338341
"O",0.499006,-0.241410,-0.060063,0.607539,-0.031685
"J",-1.034756,-2.262471,1.101095,-1.620943,2.448682
"H",-0.296138,-0.284371,-2.428220,0.440340,1.769120
"M",0.547574,-0.374341,-1.196131,0.279683,0.499477
"I",-0.647121,0.261769,1.953227,-0.830373,1.160683
"W",1.056648,2.045501,-0.534551,-0.052004,0.702126
"N",-0.496431,-0.501937,-0.604971,0.157222,-0.194516
"A",-1.581282,-1.811689,0.004819,-1.907936,0.912711
"S",-1.267289,-0.076629,0.931549,-0.720855,-0.651475
"P",-2.216740,0.691555,-0.772484,-0.976605,-0.836402
"D",1.681319,-0.814738,0.348114,0.307802,-0.903815
"M",1.753615,-0.202585,-0.655317,0.113532,2.092650
"T",0.120766,1.671645,-0.438789,0.223669,-0.293534
"L",-0.761329,-0.776494,1.433696,1.089758,0.053367
"X",-0.634172,-0.276693,-0.252002,-0.131770,-0.122466
"G",-0.774135,-1.032433,-0.759501,1.550677,-0.444820
"D",1.179685,-1.372617,1.230836,-0.836202,0.558666
"E",-0.606205,-0.150471,1.001684,3.300464,-0.001880
"N",-1.443226,0.542387,-1.077476,-0.500720,0.109736
"G",-1.034218,-0.511116,-0.482384,0.677047,-0.374594
"V",0.523587,2.192820,0.272592,1.025331,1.854280
"A",-0.649210,-1.362636,-0.323141,-1.030244,0.501847
"E",-0.030579,-0.796161,0.320058,0.217687,0.226002
"K",-0.181800,-0.241578,-1.085793,1.974926,1.577201
"M",1.240637,0.219712,-0.356441,-0.141161,1.392631
"L",0.417598,-0.539075,0.878244,0.463704,1.318843
"T",-0.367102,2.497455,1.392266,-0.766424,-0.582615
"G",-0.925505,-0.589372,-0.393207,0.960885,-0.322729
"J",-1.181578,-0.117876,1.891777,-1.183341,1.192303
"F",-0.036035,2.485764,0.731655,0.353410,1.018956
"W",1.212218,2.006206,-1.154965,-1.284214,-1.017144
"A",-0.396130,-1.969305,0.227666,-2.030836,0.918174
"K",1.299685,-1.065388,0.987632,-0.237285,0.352735
"P",-1.676153,1.123075,0.062994,-0.926791,-1.166578
"M",1.630017,-0.043890,-1.396607,-0.882362,-0.952593
"O",-0.842932,-0.523804,-0.433650,0.327543,0.097354
"S",0.392744,-0.518726,0.764766,2.433046,-1.336857
"C",0.283589,0.277858,-0.061537,1.212712,-1.122248
"O",-1.842778,-0.474539,-0.682076,-0.341103,-0.555309
"Z",-1.312158,-0.581432,0.545037,1.216126,-1.604067
"X",0.988350,-1.075962,0.279585,-0.812457,-2.019850
"W",-0.322659,1.474740,-1.319191,-1.177599,-0.724857
"B",0.224422,-0.644509,-0.291926,1.171487,-1.126138
"C",0.687723,1.200788,0.666513,1.333769,1.867733
"F",-1.103104,1.540101,0.425968,-0.600729,-0.859177
"I",-1.642648,-0.223623,-0.091198,-0.062373,0.619126
"B",-1.475702,-0.475767,0.378507,-0.903179,-0.355760
"P",-0.805948,0.589854,1.041648,-2.104839,-1.057179
"K",2.125151,0.682768,0.650147,0.509537,1.643563
"U",-0.404250,0.949587,0.642017,0.303187,0.145619
"N",-0.305296,-0.447279,-2.553825,0.436823,1.012127
"Y",0.018885,1.801989,-0.107270,0.046230,1.404686
"I",0.020361,-0.597446,-0.118685,0.035868,-1.266607
"Q",1.586091,-1.367872,1.908717,0.976352,0.641546
"Q",0.044997,-0.548465,-0.770857,0.274250,0.027629
"Z",-2.060861,-0.450753,1.191381,0.149438,-1.364756
"F",0.292626,0.198039,-0.303559,-0.097429,-1.682240
"M",2.112429,-0.550669,-0.115673,-1.531831,0.937217
"D",-0.191675,-0.053992,-0.067504,0.953418,-0.774263
"N",-1.279793,0.277423,-0.055700,-1.861977,-0.369547
"W",1.065030,1.758037,-1.098020,0.244993,1.211353
"U",-0.067551,0.005380,-1.588988,0.986461,1.290379
"G",1.427413,-0.564272,-0.693683,1.426970,0.841173
"G",2.315000,-1.780820,-1.194835,0.583102,-0.690580
"O",0.254765,-0.474279,-0.393645,-0.323878,-0.414800
"U",-1.011695,0.325121,-1.810800,0.905745,1.203286
"K",1.664977,-0.647407,-0.420314,0.379537,-1.243885
"W",0.245952,1.031617,-1.976447,-0.284013,1.122294
"K",0.341361,0.236973,0.554213,0.595334,1.136788
"E",0.178575,-0.493881,1.045753,0.390513,-0.094561
"V",-0.703784,1.022986,-1.521401,-0.292001,0.828812
"R",1.695594,-0.667374,0.309813,-0.712234,0.043540
"Z",0.720821,-1.018189,1.130663,0.699788,-1.476043
"S",0.445449,-0.442885,1.258241,-0.163062,0.041696
"N",0.040844,0.619375,-0.423145,-0.920136,-0.787387
"X",0.903525,1.216102,1.116105,0.828432,0.876276
"I",-0.768490,-0.399627,0.687233,1.671661,0.500211
"Q",-1.492150,-0.238189,-1.101434,-0.146675,0.180809
"N",1.877314,0.441562,-0.720754,0.648452,0.859193
"C",-0.029953,0.472492,0.860005,1.305497,1.190919
"Q",0.311630,-1.868685,1.094073,0.057936,0.364583
"N",1.521289,-0.252152,-0.363705,0.116450,-0.326696
"K",1.672432,-1.703335,-0.107760,-0.050003,-0.719083
"S",1.126019,1.429625,1.149272,-0.556255,1.190261
"E",-1.296833,0.428079,1.313068,0.018869,-0.210691
"D",0.932337,-0.931219,-0.012127,-0.557169,-1.813466
"X",-0.453029,-0.236155,-0.274877,-0.120535,-0.104225
"C",-1.971786,-0.929026,0.012116,1.715999,0.163857
"J",0.316067,-0.795228,1.663464,-1.048774,2.860417
"B",0.594144,-0.013618,0.309944,0.273415,-1.557988
"D",0.375132,-0.120438,-0.272498,0.717670,-0.626500
"R",1.080211,-0.476217,0.109822,-0.267461,-0.105997
"Z",-1.583237,-0.389094,1.501563,0.836031,-1.553970
"T",-1.282811,1.290532,0.184741,-0.001825,0.022742
"K",0.080456,-0.558215,-1.339808,1.842646,1.782420
"G",0.921215,-0.765240,0.484329,1.886976,0.285908
"B",3.000651,-1.085914,0.831529,-1.225131,-0.292784
"X",1.923550,0.729713,1.430683,0.278469,0.828974
"D",1.123153,-0.926036,0.999428,-1.051863,0.236828
"V",-1.009081,1.436439,-0.392775,0.071359,0.367714
"I",-0.865914,-0.214267,-0.144718,0.116936,1.270724
"Z",-0.710059,0.028058,1.939629,0.270603,-0.780638
"G",-1.265360,-0.508870,-0.634788,0.341347,-0.485956
"J",-0.567016,-2.187014,0.751110,-0.705912,3.123351
"V",-0.914409,1.456355,-0.614147,-0.243301,0.071141
"V",1.694165,1.227100,-0.563939,-0.016953,0.284231
"J",0.977685,-0.435094,1.245553,-1.123810,-0.273773
"C",-0.786128,-0.639076,0.719726,2.361359,0.663578
"U",-1.397942,1.377757,-0.000332,0.030896,0.517136
"A",-0.655220,-2.300956,0.554488,-1.602836,1.386745
"Y",-0.258729,1.300594,-1.067415,-0.267810,0.894795
"T",-0.456981,1.364246,0.619502,0.491782,0.005147
"M",0.826586,-0.551192,-0.238919,-1.527211,0.503219
"V",0.007740,2.174170,-0.440427,-0.048861,0.253891
"S",0.067156,1.032762,0.757283,0.108125,0.016122
"M",0.586017,-0.306922,-2.701637,-0.130946,1.655711
"Y",-0.441060,1.313952,-1.157204,-0.442749,0.681737
"Z",1.916179,0.476035,0.717321,0.114106,-1.101387
"M",-0.101519,-0.675841,-2.843808,-0.125963,1.417975
"M",-0.213909,-0.885373,-2.345311,-0.635160,1.656472
"J",-0.569675,-1.821503,0.993228,-1.623457,2.236687
"K",1.266671,0.505286,0.439362,-0.183389,0.710070
"B",-0.619823,-0.560951,-0.346057,0.173971,-1.409657
"K",0.997873,-1.623279,-0.413532,0.745821,-1.151866
"Z",0.446122,1.450730,1.873540,0.451695,-0.831158
"F",-0.406100,2.240261,0.622313,0.175318,0.920985
"N",-1.647113,0.256632,-1.053618,-1.058419,-0.323734
"P",1.257963,1.744164,0.991754,-2.221621,-1.217111
"C",-0.571547,-0.610270,0.628265,2.342836,0.507892
"Z",0.165111,-1.213347,2.022001,0.347012,0.086693
"S",-1.131582,-0.113219,0.903757,-0.448096,-0.640834
"W",0.186830,1.080815,-1.488882,-0.926849,-0.358082
"P",-1.110004,0.316550,0.430796,-1.588244,-1.061568
"L",-0.643486,-0.962521,-0.446380,1.179667,-0.428854
"U",-0.650782,0.195183,-1.972636,1.053865,1.262532
"J",-0.306809,-2.065807,0.536168,-0.836337,3.544739
"J",-0.985390,-1.888707,0.040080,-0.348441,3.188521
"Z",-0.712224,-0.556831,0.740115,0.815630,-1.819552
"M",-0.094595,-0.551596,-1.324600,-0.911167,-0.025984
"U",0.976063,-0.318408,-0.246200,0.182999,1.139798
"J",-1.673276,-0.407136,1.453658,-1.515100,1.131571
"B",0.706873,-0.445027,-0.364091,0.941698,-1.040724
"B",1.558191,-1.303607,1.043337,-0.188308,-0.275929
"Q",1.587904,-1.592432,1.356499,0.625098,0.925412
"N",-0.601895,0.669804,0.078153,-1.508816,-0.092281
"D",-0.278992,-0.448470,0.632709,-1.072032,-0.534096
"B",-2.034519,-0.530734,-0.521105,-0.054423,-1.275748
